source,target,maxspeed,osmid,length,name,oneway
1108247114,314028301,0,209436195,90.027,Rua de Francisco Barreto,False
1108247114,314075627,0,209436198,62.044,Rua de Duarte Lopes,False
1108247114,314043899,0,28590603,72.44200000000001,Rua de Duarte Lopes,True
1352663628,412525204,0,"[35170179, 173372590]",185.802,Túnel das Antas I,True
1352663628,1352663653,0,"[549444969, 549444982]",147.529,Avenida de Fernão de Magalhães,True
1352663630,1352647011,0,549444986,71.748,Avenida de Fernão de Magalhães,True
4442997329,1243857985,0,447104330,35.949,Avenida de Sidónio Pais,True
1352663634,4478069063,0,549454255,17.159,Avenida de Fernão de Magalhães,False
1352663634,1106006333,0,536714321,38.53,Praça de Campo Grande,True
1352663634,1352647025,0,"[549454258, 120692683]",122.25699999999999,Avenida de Fernão de Magalhães,False
1352663645,409771176,0,118153961,91.357,"Rua de ""A Renascença Portuguesa""",False
1352663645,409771021,0,164088398,48.172,Rua da Vigorosa,False
1352663645,1352663666,0,27292798,119.501,Rua da Vigorosa,True
1352663645,343634513,0,35043633,204.534,Rua Maria Adelaide Freitas Gonçalves,False
497320541,429432820,0,251257491,30.826,Avenida do Doutor Antunes Guimarães,False
497320541,497320580,0,40870106,66.128,Rua da Cidade de Mindelo,False
497320541,500009820,0,251257491,210.77100000000002,Avenida do Doutor Antunes Guimarães,False
1352663646,1352647054,0,549269428,57.224000000000004,Avenida de Fernão de Magalhães,True
1766376032,493669426,0,28394183,14.225,Rua Amadeu de Souza Cardoso,False
1766376032,314044811,0,40643208,204.4,Rua de Henrique Lopes de Mendonça,True
1766376032,4581547016,0,28394183,75.33,Rua Amadeu de Souza Cardoso,False
497320546,497320557,0,40870105,181.636,Rua da Cidade da Beira,False
497320546,428217648,0,309137442,72.238,Rua da Vilarinha,True
1352663651,1352663678,0,"[549444954, 434878390]",82.828,Avenida de Fernão de Magalhães,True
1352663653,1842003093,0,448850571,47.54,Avenida de Fernão de Magalhães,True
1352663653,5284498223,0,448850572,82.02799999999999,Rua de Santo António das Antas,True
1352663655,1352647022,0,"[480146200, 159959889, 480146202, 480146204]",123.56899999999999,Avenida de Fernão de Magalhães,True
1352663656,6249234969,0,549444947,31.857,Avenida de Fernão de Magalhães,True
1352663656,1334148418,0,118670828,39.014,NONE,True
497320557,4440997257,0,40870105,79.918,Rua da Cidade da Beira,False
497320557,497320546,0,40870105,181.636,Rua da Cidade da Beira,False
497320557,1788788647,0,40870106,90.06200000000001,Rua da Cidade de Mindelo,False
1352663664,1352663651,0,480146205,59.022,Avenida de Fernão de Magalhães,True
420774512,3170300793,50,35997529,23.103,Rua de São Tomé,False
420774512,444004645,50,35997529,96.621,Rua de São Tomé,False
420774512,2060757099,0,195652243,22.517,Praça da Ilha Brava,True
1352663666,1352663678,0,765586391,9.13,Rua da Vigorosa,True
1352663666,1352663673,0,549444981,22.741,Avenida de Fernão de Magalhães,True
